sold_at,channel_code,sku_code,quantity,net_sales,unit_cost,channel_fee,marketing_cost,shipping_cost,return_cost,returned_quantity,location_code,location_name,product_name,category,order_id,line_id,country_code,currency_code,customer_token,shipping_region_1,shipping_region_2,order_status,scenario_note,data_pack_version
2026-05-20T10:00:00+09:00,자사몰,ARC-07-BLK-F,4,0,82000,0,0,0,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BASE90V2-20260520-00-00,1,KR,KRW,CUST-0001,서울,성동구,cancelled,90일 정상 기준,v2
2026-05-20T11:13:00+09:00,무신사,ARC-07-BLK-F,5,1140800,82000,136896,51336,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BASE90V2-20260520-00-01,1,KR,KRW,CUST-0012,서울,강남구,paid,90일 정상 기준,v2
2026-05-20T12:26:00+09:00,29CM,ARC-07-BLK-F,3,699360,82000,97910,27974,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BASE90V2-20260520-00-02,1,KR,KRW,CUST-0023,서울,마포구,paid,90일 정상 기준,v2
2026-05-20T13:39:00+09:00,네이버,ARC-07-BLK-F,4,962240,82000,76979,24056,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BASE90V2-20260520-00-03,1,KR,KRW,CUST-0034,경기,성남시,paid,90일 정상 기준,v2
2026-05-20T14:52:00+09:00,W컨셉,ARC-07-BLK-F,3,654720,82000,98208,22915,3500,0,0,ONLINE,온라인몰,Utility Jacket,OUTER,BASE90V2-20260520-00-04,1,KR,KRW,CUST-0045,경기,수원시,paid,90일 정상 기준,v2
2026-05-20T15:05:00+09:00,매장 POS,ARC-07-BLK-F,3,721680,82000,14434,7217,0,0,0,STORE-SEONGSU,성수 플래그십,Utility Jacket,OUTER,BASE90V2-20260520-00-05,1,KR,KRW,CUST-0056,서울,성동구,paid,90일 정상 기준,v2
2026-05-20T11:11:00+09:00,자사몰,FLOW-22-BLK-F,5,766300,51000,30652,26821,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BASE90V2-20260520-01-00,1,KR,KRW,CUST-0038,서울,강남구,paid,90일 정상 기준,v2
2026-05-20T12:24:00+09:00,무신사,FLOW-22-BLK-F,4,581440,51000,69773,26165,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BASE90V2-20260520-01-01,1,KR,KRW,CUST-0049,서울,마포구,paid,90일 정상 기준,v2
2026-05-20T13:37:00+09:00,29CM,FLOW-22-BLK-F,4,594080,51000,83171,23763,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BASE90V2-20260520-01-02,1,KR,KRW,CUST-0060,경기,성남시,paid,90일 정상 기준,v2
2026-05-20T14:50:00+09:00,네이버,FLOW-22-BLK-F,4,613040,51000,49043,15326,3500,0,0,ONLINE,온라인몰,Drape Pants,BOTTOM,BASE90V2-20260520-01-03,1,KR,KRW,CUST-0071,경기,수원시,paid,90일 정상 기준,v2
